POS.WeekEndDate,Category,HA_._sold_COM,HA_._sold_EML,HA_._sold_other,HA_quantity_COM,HA_quantity_EML,HA_quantity_other,MNP_SA50.Sales.Amt,MNP_SA50.Sales.Amt_transformed,MNP_SA50.Sales.Qty,POS.Inventory,POS.Net...Sold,POS.Net.Quantity.Sold,POS.Brother.MNP.Net...Sold,POS.Brother.MNP.Net...Sold_transformed,POS.Brother.MNP.Net.Quantity.Sold,POS_SA50.Sales.Amt,POS_SA50.Sales.Qty,brother_SA50.Sales.Amt,brother_SA50.Sales.Qty,HA_promo_COM,HA_promo_EML,HA_promo_other,HA_promo_COM_weighted,HA_promo_EML_weighted,HA_promo_other_weighted,weighted_unit_price,division_name,display_cost,search_cost,shop_cost,video_cost,yt_Impressions,yt_Views,yt_Watch.time..hours.,yt_Average.view.duration,print_Engagement,print_Impressions,print_Outbound.clicks,print_Pin.clicks,print_Saves,link_Overview.page.views..total.,link_Overview.unique.visitors..total.,link_Life.page.views..total.,link_Life.unique.visitors..total.,link_Total.page.views..total.,link_Total.unique.visitors..total.,link_cost,fb_cost,ig_cost,web_Events,web_TotalSessions,web_AvgTimeonPage,web_AvgPageViews,web_locate_a_dealer,web_where_to_buy,web_add_to_cart,web_Total_prod_spec,web_Total_about_product,web_Total_image,web_Total_Video,web_Total_Downloads,web_Other,web_Total_PDP_Reviews,web_Total_PDP_Views,web_Social_new,web_Other_new,web_PaidSearch,web_Email,web_Affiliates,web_Referral,web_Social,web_OrganicSearch,web_Direct,web_Display,eml_SENT,eml_OPENED,eml_UOPEN,eml_COST,corona_cases,vaccine,Holiday,Holiday_Significance,Event,Event_Significance,Total_Holiday.Event_Count,Overall_Significance,Paid_Search,Paid_Social,trend,display_impressions,search_impressions,shop_impressions,video_impressions,link_paid_impressions,fb_impressions,ig_impressions,Paid_Search_impressions,Paid_Social_impressions
12-01-2019,Sewing,0,0,0,0,0,0,1588110,1683775.215,10099,162542,978712,14161,2574543,2670208.215,24472,931314,12839,7721,212,0,0,0,0,0,0,69.11284019,HAD,0,5013.08,0,0,201444,31792,868.6919,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050,42972,6.297142857,1.938571429,1766,1169,115,0,0,1843,410,15,96,0,82941,786,66,2264,97,0,941,82941,12284,26534,0,256584,126624,95011,192.438,0,0,0,0,0,0,0,0,5013.08,0,20,0,54192,,,,,,54192,0
12-01-2019,Supplies,0,0,0,0,0,0,114386,107786.9862,12023,2709445,18448636,607515,18597769,18591169.99,620388,8461786,270428,34747,850,0,0,0,0,0,0,30.36717645,BMG,0,14018.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,29764,7.005714286,1.932857143,15,1930,20,0,0,966,84,29,3,0,57316,27,2,2106,10,0,289,57316,3834,23496,0,0,0,0,0,0,0,0,0,0,0,0,0,14018.91,0,61,0,135157,,,,,,135157,0
19-01-2019,B2B Printing,489687,77342,104770,1607,163,462,80237,81299.93445,212,33260,1799930,5463,1886937,1887999.934,5695,2094576,5888,6770,20,49.27536232,29.03846154,48.33333333,48.55561704,30.82822086,50.15625,329.472451,BMG,909.59,14055.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,7886,8.854285714,3.51,59,477,40,1356,0,987,257,192,1,166,27284,17,1,1179,47,0,184,27284,3688,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,14055.08,0,56,456941,203457,,,,,,203457,0
19-01-2019,B2C printing,2245232,0,3584940,13640,0,22286,101612,142752.308,1502,304665,7356322,46394,7471796,7512936.308,48061,5300198,36078,13862,165,27.87179487,0,39.30459364,35.96126182,0,44.80792881,158.5575352,BMG,2182.85,25683.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.03,0,2735,38341,6.874285714,2.441428571,13,2517,205,4084,0,3010,966,643,43,547,92287,85,6,5581,441,0,1775,92287,16237,14212,4,288272,133313,106487,216.204,0,0,0,0,0,0,0,0,25683.07,520.03,72,1539623,268679,,,,86388,,268679,86388
19-01-2019,Crafting,0,0,0,0,0,0,2225,4807.676938,1120,14661,53610,1904,56866,59448.67694,3060,12041,1292,1031,36,0,0,0,0,0,0,28.15491071,HAD,0,1434.7,0,0,133494,20702,1104.5511,189.8571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,6350,6.925714286,2.095714286,229,116,31,109,0,79,11,2,13,71,12972,250,13,605,18,0,99,12972,1120,4245,0,0,0,0,0,0,0,0,0,0,0,0,0,1434.7,0,35,0,51118,,,,,,51118,0
19-01-2019,ES/Labeling,253456,0,350932,6829,0,10322,62026,84393.42329,565,174132,1227515,36573,1292421,1314788.423,37179,899579,27619,2880,41,10.34782609,0,14.88235294,7.506545115,0,12.26284818,33.56131873,BMG,0,5736.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973.15,2805.55,607,10068,6.442857143,2.391428571,1,533,73,609,0,744,214,30,2,163,23307,14,2,1233,16,0,103,23307,3392,5306,2,0,0,0,0,0,0,0,0,0,0,0,0,5736.32,5778.7,81,0,86049,,,,463845,571865,86049,1035710
19-01-2019,Sewing,0,0,0,0,0,0,871531,1883163.815,8925,162322,995407,14726,1878048,2889680.815,23831,299405,11497,11110,180,0,0,0,0,0,0,67.59483091,HAD,0,6565.58,0,0,177708,28462,787.3273,98.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,39915,6.09,2.015714286,1639,1050,65,886,0,1660,413,13,94,515,78359,946,74,2720,59,0,708,78359,11570,23838,0,0,0,0,0,0,0,0,0,0,0,0,0,6565.58,0,21,0,72160,,,,,,72160,0
19-01-2019,Supplies,0,0,0,0,0,0,387259,484090.2894,19669,2645869,17414927,576189,17834935,17931766.29,596643,12913039,416614,32749,785,0,0,0,0,0,0,30.22399029,BMG,0,13748.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,27181,6.932857143,2.027142857,18,1901,26,368,0,904,77,17,5,263,53524,4,4,2066,14,0,333,53524,3918,20842,0,0,0,0,0,0,0,0,0,0,0,0,0,13748.62,0,63,0,108641,,,,,,108641,0
26-01-2019,B2B Printing,562653,78491,467996,1692,169,1399,71987,71955.82076,162,31233,1889259,5675,1969536,1969504.821,5860,1339301,3932,8290,23,59.79166667,27.75,89,69.71376647,30.0887574,89.82219497,332.9051542,BMG,1030.48,10216.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,6585,8.277142857,3.974285714,50,428,37,1492,0,926,238,178,0,164,25019,4,0,1374,47,0,121,25019,3691,1348,0,0,0,0,0,0,0,1,0,0,0,1,0,10216.27,0,91,561930,168304,,,,,,168304,0
26-01-2019,B2C printing,1940428,0,2860178,13458,0,20039,71577,83941.59121,1467,283313,6908623,45530,6999816,7012180.591,47129,4341521,30322,19616,132,26.77018634,0,40.46153846,34.05938886,0,41.90916776,151.7337487,BMG,2102.23,32236.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.83,0,2670,29329,7.078571429,2.814285714,6,2456,208,4314,0,2704,881,607,30,652,79754,84,4,6068,416,0,739,79754,15344,6667,7,69274,20540,14093,51.9555,0,0,1,0,0,0,1,0,32236.81,710.83,72,1681332,326607,,,,100243,,326607,100243
